feature,gain
ema_to_ord_hl30,128735025.70989704
ema_to_ord_hl30_log,28067034.835416794
days_gmv_90,26785237.969003677
days_ord_90,12516494.812104225
ema_gmv_hl30,7721454.395057201
days_gmv_180,4372968.34508276
ema_gmv_hl30_log,4081275.1381030083
ema_gmv_hl90,3375635.732645035
to_ord_90,2221681.6496572495
days_ord_180,2001809.5618023872
ema_gmv_hl90_log,1913764.5947694778
gmv_per_ad_all,1496724.897708416
doy_cos,1379023.4491968155
days_gmv_365,1300363.8892765045
tenure,1186377.5138278008
active_rate_all,1180431.3899207115
doy_sin,1018099.6530385017
ema_active_hl14,1013867.3194942474
month,769470.4165902138
ema_active_hl14_log,650375.6516094208
aov_all,635288.9447274208
to_ord_180,602809.9828872681
active_days_7,601937.5502729416
days_gmv_60,596741.2925658226
searches_7,587221.2739868164
gmv_365,556533.2433953285
ema_gmv_hl14,554623.7937879562
days_gmv_all,543439.0545268059
active_days_14,519727.74026298523
ema_searches_hl14,501086.2604160309
gmv_per_dg_all,495254.1028108597
recency_cart,469680.54899454117
active_ratio_30_90,468937.8299818039
gmv_ratio_90_365,466284.57873010635
searches_14,464982.0411119461
aov_90,443995.03305625916
recency,431462.115609169
days_ord_365,428121.10096359253
max_gmv_180,405126.1769647598
searches_180,393198.0480709076
days_search_14,356939.92058467865
conv_ord_cart_90,356034.2468352318
max_gmv_365,355712.94391441345
gmvS_share_all,350208.7464003563
searches_365,326826.0047984123
to_cart_180,311363.4461374283
gmv_per_dg_90,293797.075196743
to_ord_365,292254.9878320694
gmv_180,290532.8158273697
gmv_search_180,288379.6074581146
max_gmv_90,282669.81079912186
gmv_all,280003.94767808914
days_cart_14,276029.21658325195
to_cart_365,273735.6092042923
searches_90,270326.67138051987
max_gmv_60,266270.19369745255
ema_gmv_hl7,262915.465303421
searches_all,259466.63265275955
recency_gmv,254800.5054755211
active_days_180,251882.17418670654
has_search_to_ord_all,240155.23198127747
active_days_365,239796.33632469177
searches_per_ds_30,238269.3695087433
max_gmv_all,234703.21451568604
gmv_search_365,234314.00832033157
ema_searches_hl14_log,233705.266163826
days_search_7,226718.04416942596
searches_60,224083.49808120728
gmv_search_90,215706.65097045898
searches_3,214129.92360544205
gmv_per_ad_90,214117.50494670868
days_search_180,212162.62705278397
days_search_365,209837.69891023636
searches_14_log,209041.42619514465
has_cat_to_cart_all,204644.39830684662
active_days_90,203711.49331474304
has_search_to_cart_all,203314.64503145218
to_cart_90,196244.48455047607
gmv_90,191000.0760846138
gmv_365_log,190291.46049308777
gmv_60,187097.84733200073
gmvC_share_all,184513.68866157532
gmv_search_60,183834.86965942383
active_days_3,178117.77807998657
days_cart_180,175768.94920015335
to_ord_365_log,174348.3521051407
gmv_search_all,174071.71406030655
gmv_ratio_30_90,171355.50656175613
active_days_60,171065.38615894318
days_cart_30,170508.23632526398
to_cart_all,167022.65391016006
searches_30,166953.5459766388
active_days_all,166114.18290996552
days_cart_365,165784.80810642242
gmv_cat_180,163460.4752383232
ema_to_cart_hl30,162864.59877681732
days_ord_all,161504.5465145111
days_search_90,159170.75686979294
gmv_cat_365,156498.32323789597
days_search_all,155419.41975688934
gmv_per_dg_30,152651.37686634064
to_cart_60,151931.25460338593
conv_ord_cart_30,151027.6915268898
days_search_60,145629.02915096283
to_ord_all,139506.2683172226
max_gmv_180_log,138673.16371631622
searches_180_log,137883.2779121399
gmv_ratio_30_180,137688.00832891464
days_search_30,136758.03234767914
max_gmv_30,133739.88639974594
recency_search,123514.32162666321
to_cart_30,120470.04602861404
gmv_ratio_30_365,118946.30202484131
searches_365_log,118550.3719215393
days_cart_all,117955.66478538513
to_ord_180_log,117481.66524219513
has_search_to_cart_w90,116794.47670030594
max_gmv_365_log,115815.67054653168
gmvS_share_30,113079.66491127014
gmv_cat_90,112205.56868028641
has_search_to_ord_w90,111799.86483621597
gmv_cat_all,110978.29157590866
ema_ratio_7_30,108828.59682941437
to_cart_180_log,106856.56392288208
ema_gmv_hl14_log,106149.74278640747
to_ord_60,103511.75420570374
days_cart_90,102887.91632938385
gmv_per_ad_30,102241.55202102661
searches_3_log,101662.0707654953
ema_ratio_14_90,99746.59638214111
max_gmv_90_log,97751.47072601318
days_cart_60,97422.06658649445
to_cart_365_log,97411.40084838867
ema_gmv_hl7_log,96533.03257465363
max_gmv_60_log,96200.77811527252
searches_90_log,95849.07909965515
days_ord_60,94366.21936178207
gmv_search_180_log,94142.92562580109
gmv_all_log,94115.74457168579
recency_ord,93592.97908687592
has_cat_to_cart_w90,91662.71066045761
gmv_ratio_30_all,91590.93447256088
gmv_180_log,91457.26980495453
gmv_search_30,86300.62607574463
gmv_30,84592.85016059875
gmv_cat_60,84360.91286706924
active_ratio_7_30,79845.33967494965
active_days_30,78404.5995349884
searches_60_log,76795.56304454803
max_gmv_all_log,76066.74054908752
searches_all_log,75982.57796669006
to_cart_14,72657.00596809387
gmv_search_90_log,72472.48151016235
gmv_search_365_log,71290.80457401276
gmv_search_all_log,69700.93761491776
gmv_search_60_log,69432.57327747345
yoy_avail,65854.89960861206
active_rate_90,65837.09308767319
gmv_60_log,65394.05545902252
to_cart_90_log,65173.785391807556
gmv_14,64297.77005529404
gmv_90_log,63797.71224975586
gmv_ratio_14_30,62728.65233516693
searches_7_log,62712.72943401337
to_cart_all_log,59064.86855697632
to_cart_60_log,58712.076667785645
days_cart_7,58482.32797193527
yoy_delta_30,58335.886643886566
to_cart_7,56239.6014957428
ema_to_cart_hl30_log,56052.36391353607
has_search_to_cart_w30,55387.564370155334
gmv_cat_180_log,54546.20229768753
max_gmv_14,54420.65671110153
gmv_cat_365_log,53214.85216712952
searches_30_log,50582.774693489075
has_cat_to_ord_all,50325.70799732208
days_gmv_30,50201.79639148712
to_ord_all_log,46053.33645629883
to_ord_30,45292.68784046173
to_cart_30_log,43806.68061542511
to_ord_90_log,43063.05340671539
max_gmv_30_log,42742.41032791138
gmv_cat_all_log,42602.37804603577
to_ord_60_log,39555.470710754395
to_cart_3,39508.05739736557
gmv_cat_90_log,38446.570759773254
gmv_cat_30,37433.99673318863
gmv_30_log,37034.94116067886
gmv_search_14,36306.28305196762
has_cat_to_cart_w30,35348.559940338135
gmv_search_30_log,31410.528549194336
gmv_cat_60_log,28423.867494106293
gmv_7,26945.77654838562
gmv_ratio_7_30,25983.09980392456
to_cart_14_log,25625.857676506042
gmv_14_log,22919.381890296936
active_rate_30,20878.644722938538
to_cart_7_log,18520.20660018921
max_gmv_14_log,16784.490283966064
to_cart_3_log,16384.868362426758
gmv_yoy,15569.04588508606
has_search_to_ord_w30,14845.974128723145
searches_yoy,14510.455733299255
to_ord_14,14305.870340824127
has_cat_to_ord_w90,14104.33706998825
max_gmv_7,13461.835855484009
gmv_cat_30_log,13216.157656669617
to_ord_30_log,13019.269303321838
gmv_search_7,12692.176969528198
gmv_search_14_log,11015.147028923035
gmv_3,10884.821387290955
max_gmv_3,9946.289744853973
gmv_7_log,9708.843822479248
gmv_search_3,9532.833176612854
gmv_cat_14,9367.168345928192
active_days_yoy,8987.697619915009
days_ord_30,8548.455536842346
days_gmv_14,7065.064654350281
days_cart_3,6580.4977831840515
to_ord_14_log,6099.598473548889
gmv_yoy_log,6081.573760509491
days_search_3,4879.555097103119
gmv_cat_14_log,4639.163692474365
to_ord_7,4053.7356910705566
gmv_search_7_log,3827.1953897476196
max_gmv_7_log,3615.646652698517
gmv_search_3_log,3421.6038856506348
to_ord_yoy,3386.9637126922607
max_gmv_3_log,3348.8268823623657
gmv_3_log,3043.5074043273926
has_cat_to_ord_w30,3005.761095046997
days_gmv_yoy,2981.56249332428
days_ord_14,1884.2075901031494
to_ord_7_log,1881.5457038879395
to_ord_3,1811.8979592323303
gmv_cat_3,1713.7572021484375
gmv_cat_7,1710.541669845581
is_test_like,1598.8088073730469
days_gmv_7,1544.029993057251
dow,1402.8292541503906
to_ord_3_log,761.7030544281006
gmv_cat_3_log,723.0205821990967
gmv_cat_7_log,536.1270632743835
days_ord_7,458.416597366333
days_gmv_3,348.1198673248291
days_ord_3,127.63070106506348
